"ID","UUID","Name","Description","Job_Id","ClientOrderNumber","Budget","State","Type","StartDate","DueDate","InternalID","Jobs_Id"
"NLC005451","486d083d-ae61-4ad4-8b5d-6892629d90df","NLC PAS Support Agreement 17 July 2022 - 16 July 23","Email invoices to accountspayable@nlc.org.au and Stephen Muturi <muturS@nlc.org.au>","105","PO0041667","83754.00","In Progress","Fixed Price ","2022-07-18T00:00:00","2023-07-17T00:00:00","55961873","0"
"CDU005442","74b693d7-fdc9-4066-b1d4-476e75c446bb","Student Portal User Experience","","106","443244","32000.00","In Progress","Time & Material","2022-07-27T00:00:00","2022-09-30T00:00:00","56079306","0"
"AISNT005490","f200e5d7-035d-41df-a0ea-4d828e9640ae","INSPIRE Nov-Dec 2022","Balance of 2022 Calendar Year","107","","25000.00","Planned","Fixed Price ","2022-11-02T00:00:00","2022-12-31T00:00:00","56081758","0"
"AISNT005491","e50db852-6bd5-4e0e-b607-e4c1aaa61529","INSPIRE 2023 Licence","Jan - Dec 2023","108","","150000.00","Planned","Fixed Price ","2023-01-01T00:00:00","2023-12-31T00:00:00","56081994","0"
"FU005493","40686a49-25bd-47d8-b5a2-03c7201512d2","Mindtick UI Designer","","109","","3600.00","In Progress","Time & Material","2022-08-03T00:00:00","2022-09-30T00:00:00","56158694","0"
"OSBC005501","d105f531-feab-458f-a0f6-48d50afff39a","Information Technology Service Management","","110","","2000.00","In Progress","Time & Material","2022-08-01T00:00:00","2023-06-30T00:00:00","56213107","0"
"DCT005496","749a0199-65b3-4a92-9f4b-d0bad30138b6","Transition In Services","","111","","148050.00","In Progress","Fixed Price ","2022-08-08T00:00:00","2022-12-31T00:00:00","56244232","0"
"CFL005503","385b4f12-dd2d-4cee-b80a-6f5c2d1438dd","Data Process Mapping","As outlined in the report, sections 9.2.1.6.1-5, SRA proposes a number of key steps:
•Mapping the current process and defining data flows
•Analysing and redesign the process and data flows to identify / remove inefficiencies and bottlenecks
•Review the redesigned solution•Implement the new reporting process","112","Signed Proposal","15000.00","In Progress","Fixed Price ","2022-10-12T00:00:00","2022-11-23T00:00:00","56245591","0"
"DoE005505","bd8a88ff-9116-486b-a564-9c64c122ca6c","LARA Ongoing Maintenance and Support","","113","E00442","15000.00","In Progress","Time & Material","2022-08-12T00:00:00","2023-06-30T00:00:00","56248573","0"
"DCDD005495","79e7d63c-42b8-410b-b5c7-51686701009f","EPS 211 - Data Virtualization Project","Nathan Watts","114","D19-0147 EPS-211","161954.40","Planned","Time & Material","2022-10-01T00:00:00","2023-03-31T00:00:00","56304321","0"
"AU005512","43243dd6-e5cc-4197-94d2-98c4a9cf7a68","ITSM 2022 - 2023","","115","","5000.00","In Progress","Time & Material","2022-08-19T00:00:00","2023-06-30T00:00:00","56306460","0"
"TNX005497","22c8a57f-2965-4c06-a370-01e1201c7a2f","Tronox SLA 2022","","116","VP1581","59760.00","In Progress","Fixed Price ","2022-06-01T00:00:00","2023-05-31T00:00:00","56335518","0"
"CEO003430","2d8bba62-4a9c-44e2-a2cd-99210d4be80a","SharePoint and Data Warehouse Support and Maintenance - Year 3","","117","","43320.00","In Progress","Fixed Price ","2022-07-01T00:00:00","2023-06-30T00:00:00","56367446","0"
"DITT005509","949406f3-7208-4d09-91cd-663e14e37b00","DITT NT VET PORTAL USI WEB SERVICE UPGRADE 2022","NT VET Portal - USI Web Service Upgrade","118","92PR2338412","11250.00","In Progress","Time & Material","2022-08-29T00:00:00","2022-10-31T00:00:00","56388517","0"
"NLC005492","db3f1e8c-8a28-474a-a9ad-6b95d0d8ffb2","Sprints 19 - 20","","119","Mayuri","25032.00","In Progress","Time & Material","2022-08-30T00:00:00","2022-09-30T00:00:00","56406244","0"
"DOR005483","066d3361-bda5-43b5-a297-8f507ec9a8d8","Report Engine Builder Project (Design)","","120","4500018924","120800.00","In Progress","Fixed Price ","2022-09-02T00:00:00","2022-11-30T00:00:00","56454649","0"
"DoE005411","02ff654a-d348-43eb-9240-91bc0f2d992f","AUCHD Support and Maintenance 22/23","","121","C10834","24080.00","In Progress","Time & Material","2022-09-01T00:00:00","2023-08-31T00:00:00","56469916","0"
"SAPol005525","c7296f48-6781-4070-88d4-1fa8645f490f","Peter Carr - GIS Support Services","","122","","5600.00","In Progress","Contractor Placement","2022-09-15T00:00:00","2022-10-21T00:00:00","56493881","0"
"AU005482","65e0e63f-5679-46b5-b39c-883caf40e0ee","Analysis of Stairway Upgrade","","123","","21600.00","In Progress","Time & Material","2022-09-08T00:00:00","2022-11-30T00:00:00","56503683","0"
"DCMB005528","14765f5a-09ac-4d1b-a107-81d935eacf5a","(DCMBSD-2216) RDS SQL Server Update from 2016 to 2019","","124","","9890.00","In Progress","Fixed Price ","2022-09-08T00:00:00","2022-10-31T00:00:00","56504136","0"
"DCT005524","226d7732-ce50-441a-b0a7-a1418306f621","Infrastructure Migration - Real-time Creditor ID validation","Integration between CPIS and Finance One system to enable real time validation of Creditor ID, requires
Technical analysis to understand and work with DoE IT to design a solution
Application development to implement the design
","125","","14400.00","In Progress","Time & Material","2022-09-19T00:00:00","2022-10-31T00:00:00","56518553","0"
"DCT005515","a4ac7251-537f-489d-9b1f-2db281c9128c","Infrastructure Migration Testing (CPIS, CARDI)","The migration of CPIS and CARDI will change existing integrations with other systems, existing reports and a number of configuration changes in both systems. These changes will required validation testing","126","","25600.00","In Progress","Time & Material","2022-09-26T00:00:00","2022-10-31T00:00:00","56518765","0"
"DOR005514","4b382121-d304-4ba2-b65c-70041344ef5a","LPX+ Training & Review for config files","","127","","5400.00","In Progress","Time & Material","2022-09-13T00:00:00","2022-11-30T00:00:00","56541575","0"
"DOR005516","bb49db6a-9dad-48d5-8237-987244d5d3aa","LPX+ Design","","128","","15225.00","In Progress","Fixed Price ","2022-09-13T00:00:00","2022-11-30T00:00:00","56541601","0"
"SWSA005530","f406cc97-e983-410d-8271-e94fc5d4f9fd","InfoNet Support & Maintenance Services (Baseline Application Support)","Vendor Number: A000102
1st October 2022 - 30th September 2024","129","eProjects No: 1164","92160.00","In Progress","Fixed Price ","2022-10-01T00:00:00","2024-09-30T00:00:00","56541932","0"
"SWSA005532","bb9bcf0c-74f7-4057-874e-352f0948d6f3","InfoNet Support & Maintenance Services (Service Desk)","Vendor Number: A000102 
1st October 2022 - 30th September 2024","130","eProjects No: 1164","77614.54","In Progress","Fixed Price ","2022-10-01T00:00:00","2024-09-30T00:00:00","56542335","0"
"DOR005445","a327a9d5-2ad5-481e-9a38-74419a0f17e1","(GDMPSD-979) AWS Redshift UAT Installation and Configuration in UAT","","131","4500018911","19543.00","In Progress","Fixed Price ","2022-09-12T00:00:00","2022-10-31T00:00:00","56542578","0"
"BELL005533","ec7c45a4-42b7-4314-9a74-b8b96b90a34e","Members Portal","","132","","179815.00","In Progress","Fixed Price ","2022-09-19T00:00:00","2022-12-30T00:00:00","56594988","0"
"CER005539","198f4245-9893-4e86-9fbb-3ac16404fca6","PI 16","","133","TBA","406844.00","In Progress","Time & Material","2022-10-01T00:00:00","2022-12-31T00:00:00","56656379","0"
"LEA005541","74d35653-cf33-4da0-9863-4875e85f7424","LEXiCON 2 Factor Authentication","","134","","12160.00","In Progress","Fixed Price ","2022-09-28T00:00:00","2022-11-30T00:00:00","56670955","0"
